Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.08579,0.00238,0.08579,0.00238
0.1441,0.008579,0.1441,0.008579
0.08579,0.008579,0.08579,0.008579
0.1441,0.008579,0.1441,0.008579
0.037123,0.0092914,0.037123,0.0092914
0.146686,0.0100038,0.146686,0.0100038
0.09577,0.0107162,0.09577,0.0107162
0.156954,0.011976,0.156954,0.011976
0.12141,0.0150565,0.12141,0.0150565
0.21586,0.016774,0.21586,0.016774
0.0238,0.008579,0.0238,0.008579
0.0238,0.008579,0.0238,0.008579
0.08579,0.00238,0.08579,0.00238
0.08579,0.01441,0.08579,0.01441
0.04779,0.0103581,0.04779,0.0103581
0.100038,0.0077332,0.100038,0.0077332
0.107162,0.002971,0.107162,0.002971
0.156954,0.0156954,0.156954,0.0156954
0.174745,0.0174745,0.174745,0.0174745
0.151858,0.008374,0.151858,0.008374
0.08579,0.00238,0.08579,0.00238
0.08579,0.01441,0.08579,0.01441
0.0238,0.008579,0.0238,0.008579
0.0238,0.008579,0.0238,0.008579
0.037123,0.013404,0.037123,0.013404
0.121372,0.0100038,0.121372,0.0100038
0.073103,0.0139163,0.073103,0.0139163
0.11976,0.0068874,0.11976,0.0068874
0.12141,0.0150565,0.12141,0.0150565
0.128534,0.016774,0.128534,0.016774
0.08579,0.00238,0.08579,0.00238
0.0238,0.01441,0.0238,0.01441
0.0238,0.01441,0.0238,0.01441
0.08579,0.00238,0.08579,0.00238
0.081561,0.0092914,0.081561,0.0092914
0.121372,0.0100038,0.121372,0.0100038
0.107162,0.009577,0.107162,0.009577
0.149272,0.019194,0.149272,0.019194
0.12141,0.00938,0.12141,0.00938
0.128534,0.0192536,0.128534,0.0192536
0.08579,0.00238,0.08579,0.00238
0.0238,0.008579,0.0238,0.008579
0.0238,0.01441,0.0238,0.01441
0.08579,0.008579,0.08579,0.008579
0.02577,0.0081561,0.02577,0.0081561
0.050446,0.0100038,0.050446,0.0100038
0.147979,0.0107162,0.147979,0.0107162
0.11976,0.0156954,0.11976,0.0156954
0.12141,0.012141,0.12141,0.012141
0.060416,0.0128534,0.060416,0.0128534
0.1441,0.008579,0.1441,0.008579
0.0238,0.008579,0.0238,0.008579
0.0238,0.00238,0.0238,0.00238
0.08579,0.008579,0.08579,0.008579
0.02577,0.0145393,0.02577,0.0145393
0.050446,0.0146686,0.050446,0.0146686
0.147979,0.0063769,0.147979,0.0063769
0.156954,0.0114286,0.156954,0.0114286
0.090415,0.02039,0.090415,0.02039
0.03562,0.0128534,0.03562,0.0128534
0.0238,0.00238,0.0238,0.00238
0.08579,0.008579,0.08579,0.008579
0.08579,0.01441,0.08579,0.01441
0.0238,0.008579,0.0238,0.008579
0.02577,0.0145393,0.02577,0.0145393
0.121372,0.0121372,0.121372,0.0121372
0.073103,0.0147979,0.073103,0.0147979
0.11976,0.0114286,0.11976,0.0114286
0.174745,0.00938,0.174745,0.00938
0.16774,0.0060416,0.16774,0.0060416
0.0238,0.008579,0.0238,0.008579
0.0238,0.01441,0.0238,0.01441
0.1441,0.008579,0.1441,0.008579
0.08579,0.008579,0.08579,0.008579
0.103581,0.015606,0.103581,0.015606
0.100038,0.0100038,0.100038,0.0100038
0.17998,0.0063769,0.17998,0.0063769
0.114286,0.0114286,0.114286,0.0114286
0.090415,0.012141,0.090415,0.012141
0.128534,0.0060416,0.128534,0.0060416
0.1441,0.01441,0.1441,0.01441
0.08579,0.01441,0.08579,0.01441
0.1441,0.01441,0.1441,0.01441
0.08579,0.01441,0.08579,0.01441
0.081561,0.0092914,0.081561,0.0092914
0.100038,0.0077332,0.100038,0.0077332
0.107162,0.0063769,0.107162,0.0063769
0.03168,0.0114286,0.03168,0.0114286
0.174745,0.0174745,0.174745,0.0174745
0.060416,0.008374,0.060416,0.008374
0.08579,0.008579,0.08579,0.008579
0.08579,0.00238,0.08579,0.00238
0.1441,0.00238,0.1441,0.00238
0.08579,0.00238,0.08579,0.00238
0.081561,0.0092914,0.081561,0.0092914
0.121372,0.0100038,0.121372,0.0100038
0.17998,0.0107162,0.17998,0.0107162
0.149272,0.0114286,0.149272,0.0114286
0.03365,0.0090415,0.03365,0.0090415
0.151858,0.0128534,0.151858,0.0128534
